feature_1,feature_2,feature_3,feature_4,feature_5
-3.847,1.797,7.3505,-0.22689,-0.49605
-3.847,3.3306,3.5382,-0.22689,-0.48386
-3.6736,2.8986,4.9905,-0.15398,-0.58143
-3.5869,1.0409,5.3536,-0.32897,-0.53264
-2.8935,3.3306,2.3582,-0.24147,-0.52045
-2.6334,1.9698,3.2659,-0.28522,-0.47166
-2.5467,2.8338,7.3505,-0.28522,-0.52045
-2.2,1.8618,2.2674,-0.25606,-0.54484
-2.2,2.5098,0.72434,-0.25606,-0.58143
-1.8533,0.65213,0.72434,-0.40187,-0.48386
-1.8533,1.4298,2.7213,-0.2998,-0.49605
-1.8533,3.0714,3.2659,-0.2998,-0.49605
-1.7666,0.95454,1.9951,-0.34355,-0.48386
-1.7666,2.2074,4.8997,-0.25606,-0.53264
-1.7666,2.5746,4.7182,-0.31438,-0.52045
-1.7666,3.0066,3.1751,-0.34355,-0.49605
-1.6799,-0.38471,-0.27412,-0.21231,-0.37408
-1.5932,-0.40631,-0.18335,-0.11024,0.052813
-1.5065,0.26332,0.088954,-0.31438,-0.53264
-1.4199,-0.2119,-0.36489,-0.2998,-0.17893
-1.3332,-0.51432,-0.6372,-0.22689,0.028419
-1.3332,2.2938,-0.092585,-0.21231,-0.56923
-1.2465,0.26332,0.72434,-0.18315,-0.54484
-1.1598,-0.1039,-0.36489,-0.27064,-0.13014
-1.0731,-1.1191,-0.72797,-0.11024,1.0286
-1.0731,-0.44952,-0.54643,-0.24147,-0.39848
-1.0731,0.93294,1.5413,-0.19773,-0.47166
-1.0731,1.1274,-0.092585,-0.24147,-0.53264
-0.98645,-0.90313,-1.3634,-0.22689,-0.16673
-0.98645,-0.27671,-0.27412,-0.18315,0.22357
-0.98645,-0.1687,-0.45566,-0.1394,-0.54484
-0.98645,0.11211,-0.27412,-0.081075,-0.59363
-0.98645,1.473,2.1766,-0.16857,-0.48386
-0.89977,0.67373,1.0874,-0.34355,-0.52045
-0.89977,0.67373,1.5413,-0.31438,-0.52045
-0.89977,1.6458,-0.0018154,-0.21231,-0.47166
-0.81308,-0.81673,0.45203,-0.15398,-0.044763
-0.81308,-0.082299,0.5428,-0.22689,-0.53264
-0.81308,0.13371,0.45203,-0.28522,-0.27651
-0.81308,0.30652,0.5428,-0.31438,-0.54484
-0.7264,-0.77353,-0.36489,-0.28522,-0.15454
-0.7264,-0.68713,-0.54643,-0.27064,0.18698
-0.7264,-0.60072,-0.27412,-0.19773,-0.3131
-0.7264,-0.60072,0.27049,-0.2998,-0.23992
-0.7264,-0.44952,-0.6372,-0.27064,-0.3009
-0.63972,-0.98954,-0.45566,-0.22689,0.30895
-0.63972,-0.70873,-0.6372,-0.21231,-0.34969
-0.63972,-0.49272,-0.092585,-0.12482,-0.20332
-0.63972,-0.31991,-0.36489,-0.2998,-0.21552
-0.63972,-0.29831,-0.6372,-0.22689,-0.33749
-0.63972,-0.082299,-0.45566,-0.25606,-0.3131
-0.55304,-1.0327,-0.45566,-0.24147,0.1016
-0.55304,-0.55752,-0.81874,-0.31438,-0.44726
-0.55304,-0.38471,-0.45566,-0.34355,-0.044763
-0.55304,-0.29831,-0.092585,-0.1394,-0.37408
-0.55304,-0.082299,0.90588,-0.21231,-0.52045
-0.55304,0.047306,-0.54643,-0.31438,-0.49605
-0.55304,0.50093,-0.6372,-0.22689,-0.17893
-0.46635,-0.81673,-0.092585,-0.34355,-0.41067
-0.46635,-0.77353,0.088954,-0.24147,-0.020369
-0.46635,-0.060699,-0.72797,-0.22689,-0.41067
-0.37967,-0.90313,-0.81874,-0.28522,-0.39848
-0.37967,-0.81673,0.17972,-0.21231,0.34554
-0.37967,-0.62232,-0.36489,-0.022748,0.016222
-0.37967,-0.55752,-0.36489,-0.19773,-0.52045
-0.37967,-0.38471,0.088954,-0.1394,-0.56923
-0.37967,-0.25511,-0.36489,-0.25606,-0.32529
-0.37967,-0.082299,-0.092585,-0.18315,-0.069157
-0.37967,0.26332,-0.72797,-0.2998,-0.36189
-0.37967,0.26332,0.088954,-0.27064,-0.38628
-0.37967,0.45772,1.269,-0.25606,-0.50825
-0.37967,1.6242,-0.27412,-0.37271,-0.45946
-0.29299,-1.2271,-0.6372,-0.18315,-0.33749
-0.29299,-0.68713,-0.36489,-0.24147,-0.032566
-0.29299,-0.2119,-1.091,-0.27064,-0.22772
-0.29299,-0.1039,-0.36489,-0.2998,-0.44726
-0.29299,-0.1039,-0.18335,-0.28522,-0.13014
-0.29299,-0.1039,0.27049,-0.19773,-0.50825
-0.29299,-0.060699,0.45203,-0.27064,-0.34969
-0.29299,0.30652,-0.092585,-0.28522,-0.38628
-0.29299,0.76014,0.99665,-0.25606,-0.50825
-0.20631,-0.31991,-0.092585,-0.19773,-0.41067
-0.20631,0.047306,0.27049,-0.28522,-0.17893
-0.20631,0.67373,-0.72797,-0.28522,-0.13014
-0.20631,0.67373,-0.36489,-0.0081658,-0.3009
-0.20631,0.84654,-0.36489,-0.27064,-0.27651
-0.11962,-1.3784,-1.1818,-0.16857,-0.33749
-0.11962,-0.73033,-0.81874,-0.28522,-0.32529
-0.11962,-0.60072,-0.54643,-0.18315,-0.23992
-0.11962,-0.25511,-0.6372,-0.095657,-0.20332
-0.11962,0.11211,0.17972,-0.22689,-0.21552
-0.11962,0.22011,-0.6372,-0.1394,-0.38628
-0.032939,-0.98954,-0.27412,-0.21231,-0.32529
-0.032939,-0.49272,-0.54643,-0.095657,-0.27651
-0.032939,-0.31991,0.17972,-0.25606,-0.069157
-0.032939,-0.2119,-0.18335,-0.27064,-0.39848
-0.032939,-0.1471,-0.092585,-0.25606,0.028419
-0.032939,-0.039098,-0.45566,-0.25606,-0.25211
-0.032939,0.025705,-0.54643,-0.15398,0.016222
-0.032939,0.11211,-0.0018154,-0.35813,-0.52045
-0.032939,0.54413,0.36126,-0.16857,-0.41067
0.053743,-0.77353,-0.81874,-0.2998,-0.38628
0.053743,-0.62232,-0.81874,-0.18315,0.016222
0.053743,-0.44952,-0.0018154,-0.11024,0.27236
0.053743,-0.31991,-0.45566,-0.27064,-0.27651
0.053743,-0.25511,-0.0018154,-0.18315,0.028419
0.053743,-0.1471,-0.27412,-0.19773,-0.47166
0.053743,0.11211,-0.27412,-0.18315,-0.17893
0.053743,0.11211,-0.092585,-0.27064,-0.22772
0.053743,0.30652,0.36126,-0.28522,-0.10575
0.053743,1.149,-0.0018154,-0.31438,-0.53264
0.053743,2.2506,1.632,-0.32897,-0.48386
0.14043,-0.44952,0.088954,-0.15398,-0.008172
0.14043,-0.31991,-0.36489,-0.2998,-0.36189
0.14043,-0.29831,-0.27412,-0.25606,-0.032566
0.14043,-0.29831,-0.27412,-0.24147,0.43092
0.14043,-0.1687,-0.18335,-0.24147,-0.008172
0.14043,0.43612,0.36126,-0.28522,-0.044763
0.14043,1.3218,0.17972,-0.28522,-0.52045
0.22711,-1.5728,-1.091,5.5621,1.8092
0.22711,-0.85993,-0.18335,-0.12482,-0.34969
0.22711,-0.73033,-0.6372,-0.24147,-0.26431
0.22711,-0.66552,-0.18335,-0.21231,-0.10575
0.22711,-0.38471,-0.0018154,0.12307,-0.26431
0.22711,-0.082299,0.088954,-0.24147,-0.42287
0.22711,0.15531,-0.27412,-0.28522,-0.52045
0.31379,-1.0327,-1.091,0.42929,1.8824
0.31379,-0.44952,0.088954,-0.25606,-0.14234
0.31379,-0.29831,-0.092585,-0.2998,-0.44726
0.31379,-0.1903,0.088954,-0.15398,-0.3131
0.31379,0.0041042,1.0874,-0.12482,0.21137
0.31379,0.26332,-0.18335,-0.2998,-0.22772
0.31379,0.34972,-0.36489,-0.1394,-0.15454
0.31379,1.581,-0.092585,-0.27064,-0.50825
0.40047,-0.68713,-0.36489,-0.27064,-0.081354
0.40047,-0.51432,-0.72797,-0.18315,0.028419
0.40047,-0.38471,-0.27412,-0.18315,-0.44726
0.40047,-0.31991,-0.27412,-0.18315,-0.53264
0.40047,-0.1687,0.63357,-0.19773,-0.32529
0.40047,0.0041042,0.45203,-0.19773,0.18698
0.40047,0.22011,0.17972,-0.37271,-0.33749
0.40047,0.26332,0.45203,-0.12482,-0.54484
0.48716,-0.77353,-0.6372,0.26889,1.2481
0.48716,-0.60072,-0.54643,-0.22689,-0.26431
0.48716,-0.38471,-0.18335,-0.32897,-0.23992
0.48716,0.11211,-0.092585,-0.18315,-0.26431
0.48716,0.15531,-1.0003,-0.11024,0.052813
0.48716,1.1706,0.36126,-0.12482,-0.26431
0.57384,-0.44952,-0.45566,-0.25606,-0.05696
0.57384,-0.1471,0.72434,-0.27064,0.004025
0.57384,0.025705,-0.18335,-0.19773,0.016222
0.57384,0.047306,0.27049,-0.18315,-0.41067
0.57384,0.26332,0.088954,-0.24147,-0.22772
0.57384,0.34972,-0.092585,-0.21231,0.15039
0.57384,0.43612,-0.092585,-0.1394,-0.32529
0.57384,1.3434,-0.90951,-0.22689,-0.32529
0.66052,-0.68713,0.27049,-0.15398,0.30895
0.66052,-0.44952,0.088954,-0.27064,-0.032566
0.66052,-0.1471,-0.0018154,-0.19773,0.32115
0.66052,0.24171,-0.45566,-0.19773,-0.25211
0.66052,0.50093,-0.0018154,-0.24147,-0.032566
0.74721,-1.3568,-0.36489,1.275,5.4439
0.74721,-0.73033,-0.6372,-0.24147,-0.3009
0.74721,-0.73033,-0.54643,-0.16857,0.89441
0.74721,-0.38471,-0.0018154,-0.19773,1.1627
0.74721,0.13371,0.17972,-0.31438,-0.081354
0.74721,0.15531,-0.092585,-0.21231,-0.14234
0.74721,0.50093,-0.36489,-0.27064,-0.22772
0.83389,-1.9616,-1.091,7.8077,2.1263
0.83389,-1.3136,-0.72797,2.9374,0.18698
0.83389,-1.0327,-0.72797,0.60427,4.4681
0.83389,-0.40631,0.088954,-0.32897,-0.11795
0.83389,0.15531,0.17972,-0.22689,-0.37408
0.83389,0.32812,0.36126,-0.095657,-0.3131
0.83389,0.65213,-0.36489,-0.22689,-0.069157
0.92057,-1.724,-1.091,2.2812,2.419
0.92057,-1.4864,0.5428,-0.24147,0.040616
0.92057,-1.4,-0.092585,0.67718,2.1141
0.92057,-0.66552,-0.0018154,-0.22689,-0.27651
0.92057,-0.66552,0.17972,1.1001,4.1998
0.92057,-0.60072,-0.6372,-0.19773,0.016222
0.92057,-0.31991,-0.72797,-0.21231,-0.33749
0.92057,0.11211,0.17972,-0.25606,-0.2887
0.92057,0.54413,0.45203,-0.2998,-0.27651
1.0073,-1.1191,-0.092585,1.2167,5.9562
1.0073,0.047306,-0.18335,-0.22689,-0.49605
1.0073,0.047306,0.45203,-0.2998,-0.14234
1.0073,0.78174,-0.36489,-0.18315,-0.44726
1.0939,-0.039098,-0.27412,-0.28522,-0.23992
1.0939,0.41452,0.72434,-0.16857,-0.22772
1.1806,-1.724,-1.4541,2.9082,2.1995
1.1806,-0.92474,-0.72797,1.5813,6.3587
1.1806,-0.38471,0.36126,-0.27064,0.1138
1.354,-1.6376,-0.90951,1.9895,0.65047
1.354,-1.3352,-0.72797,0.823,2.6508
1.4407,-2.0264,-1.5449,1.3625,0.56509
1.4407,-0.1039,0.36126,-0.27064,-0.020369
1.4407,0.11211,-0.18335,-0.24147,-0.081354
1.5274,-0.47112,-0.092585,-0.1394,0.27236
1.5274,0.65213,0.45203,-0.21231,-0.43507
1.7007,-1.8104,-1.1818,1.4063,-0.15454
1.7007,0.43612,0.72434,-0.24147,-0.081354
1.7874,-0.082299,-0.18335,-0.35813,-0.11795
1.7874,0.025705,-0.27412,-0.28522,0.052813
1.8741,-1.5512,-1.0003,1.0271,0.06501
2.0474,-0.039098,0.90588,-0.2998,-0.27651
2.1341,-1.724,-1.1818,2.2666,0.49191
2.1341,-1.7024,-1.2726,1.3625,-0.23992
2.1341,1.4082,2.6305,-0.32897,-0.49605
2.3075,-1.832,-1.4541,4.3372,0.5163
2.5675,-1.2271,-1.091,0.21056,0.26016
2.5675,1.4082,1.7228,-0.25606,-0.53264
2.7409,-1.5944,-0.54643,0.823,0.40653
2.7409,-0.92474,-0.092585,0.92507,1.2481
3.001,2.6826,1.269,-0.22689,-0.43507